iter	Passed	Remaining
0	1	189
1	2	114
2	2	87
3	2	70
4	3	64
5	3	58
6	4	55
7	4	52
8	5	52
9	5	51
10	5	48
11	6	45
12	6	43
13	6	42
14	7	40
15	7	38
16	7	37
17	7	36
18	8	34
19	8	33
20	8	32
21	9	32
22	9	30
23	9	29
24	9	29
25	9	28
26	10	27
27	10	26
28	10	26
29	10	25
30	11	24
31	11	24
32	11	23
33	11	22
34	12	22
35	12	21
36	12	21
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	13	17
44	14	17
45	14	17
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	11
64	20	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	7
77	23	6
78	23	6
79	24	6
80	24	5
81	25	5
82	25	5
83	25	4
84	25	4
85	25	4
86	26	3
87	26	3
88	26	3
89	26	2
90	27	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	28	0
97	28	0
98	29	0
99	29	0
