iter	Passed	Remaining
0	47	47435
1	47	23878
2	48	16005
3	48	12167
4	49	9858
5	50	8335
6	51	7253
7	51	6430
8	52	5789
9	53	5266
10	53	4830
11	54	4469
12	54	4174
13	55	3922
14	56	3692
15	56	3499
16	57	3326
17	58	3172
18	58	3031
19	59	2905
20	59	2788
21	60	2682
22	60	2585
23	61	2493
24	61	2415
25	62	2338
26	63	2272
27	63	2206
28	64	2143
29	64	2085
30	64	2029
31	65	1981
32	66	1934
33	66	1888
34	67	1847
35	67	1806
36	67	1768
37	68	1733
38	68	1698
39	69	1666
40	69	1632
41	70	1601
42	70	1570
43	71	1542
44	71	1515
45	71	1490
46	72	1466
47	72	1443
48	73	1420
49	73	1398
50	74	1377
51	74	1356
52	74	1334
53	75	1314
54	75	1296
55	75	1277
56	76	1259
57	76	1241
58	76	1223
59	77	1207
60	77	1191
61	77	1175
62	78	1160
63	78	1145
64	78	1130
65	78	1116
66	79	1102
67	79	1092
68	80	1081
69	80	1068
70	80	1056
71	81	1044
72	81	1032
73	81	1020
74	81	1009
75	82	998
76	82	987
77	82	978
78	83	969
79	83	960
80	83	951
81	84	940
82	84	930
83	84	921
84	84	911
85	85	903
86	85	894
87	85	885
88	85	876
89	85	868
90	86	860
91	86	852
92	86	844
93	86	836
94	86	828
95	87	826
96	88	819
97	88	813
98	88	806
99	88	799
100	89	792
101	89	785
102	89	778
103	89	772
104	89	766
105	90	759
106	90	753
107	90	747
108	90	741
109	91	736
110	91	732
111	91	727
112	91	721
113	92	716
114	92	710
115	92	705
116	92	699
117	92	694
118	93	689
119	93	684
120	93	679
121	93	674
122	93	669
123	94	665
124	94	661
125	94	656
126	94	652
127	95	647
128	95	644
129	95	640
130	96	637
131	96	633
132	96	629
133	96	625
134	97	621
135	97	617
136	97	613
137	97	609
138	97	605
139	98	602
140	98	600
141	98	596
142	98	592
143	99	588
144	99	585
145	99	582
146	99	578
147	99	575
148	100	572
149	100	569
150	100	566
151	101	564
152	101	561
153	101	558
154	101	555
155	102	552
156	102	549
157	102	546
158	102	543
159	102	540
160	103	536
161	103	533
162	103	531
163	103	528
164	103	525
165	104	523
166	104	520
167	104	517
168	104	515
169	104	512
170	105	509
171	105	507
172	105	505
173	105	502
174	106	500
175	106	498
176	106	495
177	106	493
178	107	491
179	107	489
180	107	486
181	107	484
182	107	482
183	108	479
184	108	477
185	108	475
186	108	473
187	109	470
188	109	468
189	109	466
190	109	464
191	109	462
192	110	460
193	110	458
194	110	455
195	110	453
196	110	451
197	111	449
198	111	447
199	111	446
200	111	444
201	111	442
202	112	440
203	112	438
204	112	436
205	112	434
206	112	432
207	113	431
208	113	429
209	113	427
210	113	425
211	114	424
212	114	422
213	114	420
214	114	419
215	114	417
216	115	415
217	115	414
218	115	413
219	116	411
220	116	410
221	116	408
222	116	406
223	116	405
224	117	403
225	117	402
226	117	400
227	117	398
228	118	397
229	118	395
230	118	394
231	118	392
232	118	391
233	119	389
234	119	388
235	119	386
236	119	385
237	119	384
238	120	382
239	120	381
240	120	379
241	120	378
242	121	377
243	121	375
244	121	374
245	121	372
246	121	371
247	122	370
248	122	368
249	122	367
250	122	366
251	123	365
252	123	364
253	123	364
254	124	362
255	124	361
256	124	360
257	124	359
258	125	358
259	125	357
260	125	355
261	125	354
262	126	353
263	126	352
264	126	351
265	127	350
266	127	349
267	127	348
268	127	346
269	127	345
270	128	344
271	128	343
272	128	342
273	128	341
274	128	339
275	129	338
276	129	337
277	129	336
278	129	335
279	129	334
280	130	333
281	130	332
282	130	330
283	130	329
284	131	328
285	131	327
286	131	326
287	131	325
288	132	324
289	132	324
290	132	323
291	133	322
292	133	321
293	133	320
294	133	319
295	134	318
296	134	317
297	134	316
298	134	315
299	134	314
300	135	313
301	135	312
302	135	311
303	135	310
304	135	309
305	136	308
306	136	307
307	136	306
308	136	305
309	136	304
310	137	303
311	137	302
312	137	301
313	137	301
314	138	300
315	138	299
316	138	298
317	138	297
318	138	296
319	139	295
320	139	295
321	139	294
322	140	293
323	140	293
324	140	292
325	140	291
326	141	290
327	141	289
328	141	288
329	141	288
330	142	287
331	142	286
332	142	285
333	142	284
334	142	283
335	143	282
336	143	282
337	143	281
338	143	280
339	144	279
340	144	279
341	144	278
342	144	277
343	145	276
344	145	275
345	145	275
346	145	274
347	145	273
348	146	272
349	146	271
350	146	271
351	146	270
352	147	269
353	147	268
354	147	267
355	147	267
356	147	266
357	148	265
358	148	264
359	148	264
360	148	263
361	149	262
362	149	261
363	149	261
364	149	260
365	149	259
366	150	258
367	150	258
368	150	257
369	150	256
370	151	256
371	151	255
372	151	254
373	151	254
374	152	253
375	152	252
376	152	252
377	152	251
378	152	250
379	153	249
380	153	249
381	153	248
382	153	247
383	153	246
384	154	246
385	154	245
386	154	244
387	154	244
388	155	243
389	155	243
390	155	242
391	155	241
392	156	241
393	156	240
394	156	239
395	156	238
396	156	238
397	157	237
398	157	237
399	157	236
400	157	235
401	158	235
402	158	234
403	158	234
404	158	233
405	159	232
406	159	232
407	159	231
408	159	230
409	159	230
410	160	229
411	160	228
412	160	228
413	160	227
414	161	226
415	161	226
416	161	225
417	161	225
418	161	224
419	162	223
420	162	223
421	163	223
422	163	223
423	163	222
424	164	222
425	164	221
426	164	221
427	164	220
428	165	219
429	165	219
430	165	218
431	165	218
432	166	217
433	166	216
434	166	216
435	166	215
436	166	215
437	167	214
438	167	214
439	168	213
440	168	213
441	168	212
442	168	212
443	168	211
444	169	211
445	169	210
446	169	210
447	170	209
448	170	208
449	170	208
450	170	207
451	171	207
452	171	206
453	171	206
454	171	205
455	171	205
456	172	204
457	172	204
458	172	203
459	172	202
460	173	202
461	173	201
462	173	201
463	174	201
464	174	200
465	174	200
466	174	199
467	175	199
468	175	198
469	175	198
470	176	197
471	176	197
472	176	196
473	176	196
474	177	195
475	177	195
476	177	195
477	178	194
478	178	194
479	178	193
480	178	193
481	179	192
482	179	191
483	179	191
484	179	190
485	180	190
486	180	189
487	180	189
488	180	188
489	180	188
490	181	187
491	181	187
492	181	186
493	182	186
494	182	186
495	182	185
496	183	185
497	183	184
498	183	184
499	183	183
500	184	183
501	184	182
502	184	182
503	184	181
504	185	181
505	185	180
506	185	180
507	185	180
508	186	179
509	186	179
510	186	178
511	187	178
512	187	177
513	187	177
514	187	177
515	188	176
516	188	176
517	188	175
518	189	175
519	189	174
520	189	174
521	189	173
522	190	173
523	190	172
524	190	172
525	190	171
526	191	171
527	191	170
528	191	170
529	191	169
530	191	169
531	192	169
532	192	168
533	192	168
534	192	167
535	193	167
536	193	166
537	193	166
538	193	165
539	194	165
540	194	164
541	194	164
542	195	164
543	195	163
544	195	163
545	195	162
546	196	162
547	196	162
548	196	161
549	196	161
550	197	160
551	197	160
552	197	159
553	197	159
554	198	158
555	198	158
556	198	157
557	198	157
558	198	156
559	199	156
560	199	156
561	199	155
562	199	155
563	200	154
564	200	154
565	200	153
566	200	153
567	201	152
568	201	152
569	201	152
570	201	151
571	201	151
572	202	150
573	202	150
574	202	149
575	203	149
576	203	149
577	203	148
578	204	148
579	204	148
580	204	147
581	204	147
582	205	146
583	205	146
584	205	145
585	205	145
586	205	144
587	206	144
588	206	144
589	206	143
590	206	143
591	207	142
592	207	142
593	207	141
594	207	141
595	208	141
596	208	140
597	208	140
598	208	139
599	209	139
600	209	139
601	209	138
602	209	138
603	210	137
604	210	137
605	210	136
606	210	136
607	210	135
608	211	135
609	211	135
610	211	134
611	211	134
612	211	133
613	212	133
614	212	132
615	212	132
616	212	132
617	213	131
618	213	131
619	213	130
620	213	130
621	214	130
622	214	129
623	214	129
624	214	128
625	214	128
626	215	128
627	215	127
628	215	127
629	215	126
630	216	126
631	216	125
632	216	125
633	216	125
634	216	124
635	217	124
636	217	123
637	217	123
638	217	123
639	218	122
640	218	122
641	218	121
642	218	121
643	218	121
644	219	120
645	219	120
646	219	119
647	219	119
648	220	119
649	220	118
650	220	118
651	220	117
652	220	117
653	221	116
654	221	116
655	221	116
656	221	115
657	221	115
658	222	114
659	222	114
660	222	114
661	222	113
662	222	113
663	223	112
664	223	112
665	223	112
666	223	111
667	223	111
668	224	110
669	224	110
670	224	110
671	224	109
672	224	109
673	225	108
674	225	108
675	225	108
676	225	107
677	225	107
678	226	106
679	226	106
680	226	106
681	226	105
682	227	105
683	227	105
684	227	104
685	227	104
686	227	103
687	228	103
688	228	103
689	228	102
690	228	102
691	228	101
692	229	101
693	229	101
694	229	100
695	229	100
696	229	99
697	230	99
698	230	99
699	230	98
700	230	98
701	230	98
702	231	97
703	231	97
704	231	96
705	231	96
706	231	96
707	232	95
708	232	95
709	232	95
710	232	94
711	232	94
712	233	93
713	233	93
714	233	93
715	233	92
716	234	92
717	234	92
718	234	91
719	234	91
720	234	90
721	235	90
722	235	90
723	235	89
724	235	89
725	235	89
726	236	88
727	236	88
728	236	87
729	236	87
730	236	87
731	237	86
732	237	86
733	237	86
734	237	85
735	237	85
736	238	84
737	238	84
738	238	84
739	238	83
740	238	83
741	239	83
742	239	82
743	239	82
744	239	82
745	239	81
746	240	81
747	240	80
748	240	80
749	240	80
750	240	79
751	241	79
752	241	79
753	241	78
754	241	78
755	241	78
756	242	77
757	242	77
758	242	77
759	242	76
760	243	76
761	243	75
762	243	75
763	243	75
764	243	74
765	243	74
766	244	74
767	244	73
768	244	73
769	244	73
770	245	72
771	245	72
772	245	72
773	245	71
774	245	71
775	246	71
776	246	70
777	246	70
778	246	69
779	246	69
780	247	69
781	247	68
782	247	68
783	247	68
784	247	67
785	248	67
786	248	67
787	248	66
788	248	66
789	248	66
790	249	65
791	249	65
792	249	65
793	249	64
794	249	64
795	250	64
796	250	63
797	250	63
798	250	63
799	250	62
800	251	62
801	251	62
802	251	61
803	251	61
804	251	61
805	252	60
806	252	60
807	252	60
808	252	59
809	252	59
810	253	59
811	253	58
812	253	58
813	253	57
814	253	57
815	254	57
816	254	56
817	254	56
818	254	56
819	254	55
820	255	55
821	255	55
822	255	54
823	255	54
824	256	54
825	256	53
826	256	53
827	256	53
828	256	52
829	257	52
830	257	52
831	257	52
832	257	51
833	257	51
834	258	51
835	258	50
836	258	50
837	258	50
838	259	49
839	259	49
840	259	49
841	259	48
842	259	48
843	260	48
844	260	47
845	260	47
846	260	47
847	261	46
848	261	46
849	261	46
850	261	45
851	261	45
852	262	45
853	262	44
854	262	44
855	262	44
856	262	43
857	263	43
858	263	43
859	263	42
860	263	42
861	264	42
862	264	41
863	264	41
864	264	41
865	264	40
866	265	40
867	265	40
868	265	40
869	265	39
870	265	39
871	266	39
872	266	38
873	266	38
874	266	38
875	267	37
876	267	37
877	267	37
878	267	36
879	267	36
880	268	36
881	268	35
882	268	35
883	268	35
884	268	34
885	269	34
886	269	34
887	269	33
888	269	33
889	269	33
890	270	33
891	270	32
892	270	32
893	270	32
894	271	31
895	271	31
896	271	31
897	271	30
898	271	30
899	272	30
900	272	29
901	272	29
902	272	29
903	273	28
904	273	28
905	273	28
906	273	28
907	273	27
908	274	27
909	274	27
910	274	26
911	274	26
912	274	26
913	275	25
914	275	25
915	275	25
916	275	24
917	275	24
918	276	24
919	276	24
920	276	23
921	276	23
922	276	23
923	277	22
924	277	22
925	277	22
926	277	21
927	278	21
928	278	21
929	278	20
930	278	20
931	278	20
932	279	20
933	279	19
934	279	19
935	279	19
936	279	18
937	280	18
938	280	18
939	280	17
